Class 1,Class 2,Sematic Cosine Similarity Without VGG Feat,Sematic Cosine Similarity Wit VGG Feat
apple,possum,0.24772943556308746,0.27584422765072547
apple,rabbit,0.3392503261566162,0.36854875356867445
apple,raccoon,0.19874967634677887,0.22708014824262057
apple,ray,0.1648719161748886,0.1954520818463883
apple,road,0.021864749491214752,0.07237174163021343
apple,rocket,0.10330288112163544,0.13520207856630717
apple,rose,0.08099901676177979,0.11378602962782891
apple,sea,0.011174865067005157,0.05849927753857875
apple,seal,0.07568199187517166,0.11689032478442285
apple,shark,0.12285155802965164,0.14974179022116396
apple,shrew,0.14095556735992432,0.171269636011549
apple,skunk,0.24962182343006134,0.278811736896162
apple,skyscraper,0.09916529804468155,0.13105167652152738
apple,snail,0.2757914364337921,0.30405606998968193
apple,snake,0.24526815116405487,0.27759092538954055
apple,spider,0.27322009205818176,0.3011968156198992
apple,squirrel,0.3363434970378876,0.36336229549239074
apple,streetcar,0.0509444959461689,0.0820402584425628
apple,sunflower,0.4358725845813751,0.45947394306318357
apple,pepper,0.32981547713279724,0.3543265780588968
apple,table,0.07676424831151962,0.12157168862074663
apple,tank,0.06937841325998306,0.10772013661045932
apple,telephone,0.04929898679256439,0.09167531902901427
apple,television,0.027956482023000717,0.0771353592684898
apple,tiger,0.12948472797870636,0.16058812047445603
apple,tractor,0.2265961915254593,0.2576613389673177
apple,train,0.0472097285091877,0.09227958384302304
apple,trout,0.26320260763168335,0.28677190058948776
apple,tulip,0.44318193197250366,0.46332750381499666
apple,turtle,0.26069653034210205,0.28968920058206926
apple,wardrobe,0.07145483791828156,0.10678896192101994
apple,whale,0.12943020462989807,0.15993365310253205
apple,tree,0.4142817556858063,0.43870598220171575
apple,wolf,0.19476866722106934,0.220538521025474
apple,woman,0.12263724207878113,0.1639578183313779
apple,worm,0.2705342471599579,0.29660042510342244
fish,apple,0.24829375743865967,0.27723099333161283
fish,baby,0.20362381637096405,0.23548009858811214
fish,bear,0.2748919129371643,0.30485230427946175
fish,beaver,0.3824697434902191,0.4045843409094956
fish,bed,0.09396018087863922,0.1344230651748074
fish,bee,0.2918322682380676,0.31800922356967465
fish,beetle,0.36335495114326477,0.3827416761837874
fish,bicycle,0.13084864616394043,0.16647617494324907
fish,bottle,0.14977627992630005,0.18295163321353325
fish,bowl,0.20118308067321777,0.22768316715364967
fish,boy,0.15261977910995483,0.18809509596178442
fish,bridge,0.1780652552843094,0.21149966697036438
fish,bus,0.02968117780983448,0.06930192896552523
fish,butterfly,0.3228505253791809,0.3462324663365449
fish,camel,0.12389876693487167,0.1550006144652798
fish,can,0.09850416332483292,0.15004195918152863
fish,castle,0.07594147324562073,0.1115604275736084
fish,caterpillar,0.30352917313575745,0.32778611381389
fish,cattle,0.30957844853401184,0.3338138625668581
fish,chair,0.03295743092894554,0.07249454341122907
fish,chimpanzee,0.17502011358737946,0.19848318258318487
fish,clock,0.07048008590936661,0.10641432338385715
fish,cloud,0.08356593549251556,0.11719064578738736
fish,cockroach,0.2849748432636261,0.3119696439263532
fish,couch,0.04468613490462303,0.08213258489924735
fish,crab,0.6302363872528076,0.6425867551218283
